Kjøring # 1;Kjøring # 1;Kjøring # 1;Kjøring # 1;Kjøring # 1;Kjøring # 2;Kjøring # 2;Kjøring # 2;Kjøring # 2;Kjøring # 2;Kjøring # 3;Kjøring # 3;Kjøring # 3;Kjøring # 3;Kjøring # 3;Kjøring # 4;Kjøring # 4;Kjøring # 4;Kjøring # 4;Kjøring # 4;Kjøring # 5;Kjøring # 5;Kjøring # 5;Kjøring # 5;Kjøring # 5
Dato og tid;Tid (s);Posisjon (m);Fart (m/s);Akselerasjon (m/s²);Dato og tid;Tid (s);Posisjon (m);Fart (m/s);Akselerasjon (m/s²);Dato og tid;Tid (s);Posisjon (m);Fart (m/s);Akselerasjon (m/s²);Dato og tid;Tid (s);Posisjon (m);Fart (m/s);Akselerasjon (m/s²);Dato og tid;Tid (s);Posisjon (m);Fart (m/s);Akselerasjon (m/s²)
02.11.2018 15.34.56;2,050;1,15;4,11;97,86;02.11.2018 15.38.07;2,050;2,83;0,02;0,14;02.11.2018 15.39.53;2,050;1,92;9,18;-41,50;02.11.2018 15.40.54;2,050;0,00;11,43;75,56;02.11.2018 15.41.26;2,050;0,00;-20,87;177,41
02.11.2018 15.34.56;2,100;2,84;11,78;-34,28;02.11.2018 15.38.07;2,100;2,83;0,03;0,06;02.11.2018 15.39.53;2,100;1,84;6,08;-40,30;02.11.2018 15.40.54;2,100;1,93;12,55;1,89;02.11.2018 15.41.26;2,100;0,00;-11,40;420,39
02.11.2018 15.34.56;2,150;2,84;0,51;-123,80;02.11.2018 15.38.07;2,150;2,83;0,03;-0,05;02.11.2018 15.39.53;2,150;2,83;6,33;-39,92;02.11.2018 15.40.54;2,150;1,92;9,15;-38,67;02.11.2018 15.41.26;2,150;0,00;38,11;322,86
02.11.2018 15.34.56;2,200;3,19;-13,18;-50,96;02.11.2018 15.38.07;2,200;2,83;0,02;-0,16;02.11.2018 15.39.53;2,200;2,83;3,29;-41,35;02.11.2018 15.40.54;2,200;1,84;6,04;-40,18;02.11.2018 15.41.26;2,200;0,00;48,18;-119,23
02.11.2018 15.34.56;2,250;0,95;-8,07;102,86;02.11.2018 15.38.07;2,250;2,84;0,01;-0,16;02.11.2018 15.39.53;2,250;2,83;0,00;-32,03;02.11.2018 15.40.54;2,250;2,83;6,34;-39,61;02.11.2018 15.41.26;2,250;11,43;16,40;-490,89
02.11.2018 15.34.56;2,300;0,78;5,07;137,46;02.11.2018 15.38.07;2,300;2,84;4,91E-4;-0,06;02.11.2018 15.39.53;2,300;2,83;0,00;-10,96;02.11.2018 15.40.54;2,300;2,83;3,31;-41,24;02.11.2018 15.41.26;2,300;3,02;-25,46;-346,07
02.11.2018 15.34.56;2,350;2,83;13,11;33,05;02.11.2018 15.38.07;2,350;2,84;0,01;3,65;02.11.2018 15.39.53;2,350;2,83;0,00;-0,01;02.11.2018 15.40.54;2,350;2,83;0,00;-32,12;02.11.2018 15.41.26;2,350;1,90;-35,51;17,82
02.11.2018 15.34.56;2,400;2,83;6,87;-63,99;02.11.2018 15.38.07;2,400;2,84;0,01;-13,69;02.11.2018 15.39.53;2,400;2,83;0,00;-0,01;02.11.2018 15.40.54;2,400;2,83;0,00;-11,03;02.11.2018 15.41.26;2,400;1,90;-3,72;202,26
02.11.2018 15.34.56;2,450;2,83;0,04;-39,94;02.11.2018 15.38.07;2,450;2,84;1,10;-34,21;02.11.2018 15.39.53;2,450;2,83;6,68E-4;-0,01;02.11.2018 15.40.54;2,450;2,83;9,51E-4;-0,04;02.11.2018 15.41.26;2,450;1,90;0,01;139,13
02.11.2018 15.34.56;2,500;2,83;-1,05;41,04;02.11.2018 15.38.07;2,500;2,84;-5,19;-41,99;02.11.2018 15.39.53;2,500;2,83;9,42E-5;-0,01;02.11.2018 15.40.54;2,500;2,83;0,00;-0,03;02.11.2018 15.41.26;2,500;1,90;-0,30;42,52
